Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.376106625180625,-0.00358312329472308,-0.0452575370845516,0,0,0,47.7301508686849,0.20277785181799,0.00963091634685365,0.187033116269051,3.97093461926187,0.0117080670069053,3.98654242190741,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/base_link.STL,,Link_1 Half-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_2,-7.23976911706087E-06,0.0104107184650963,-2.334089249309E-08,0,0,0,0.0267586704788677,4.28747099957771E-06,1.56148292107742E-09,2.65242305529344E-11,3.55174067185821E-06,-7.12086832586899E-13,3.071173238022E-06,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_2.STL,,link_2-1,Origin_joint_15,Axis_joint_15,joint_1,continuous,0.03135,0.022079,0,1.5708,0,0,base_link,0,1,0,300,3,0,6.28,,,,,,,,
link_3,-0.0442741391131842,-1.04083408558608E-17,0,0,0,0,0.196297763055837,3.09944539010786E-05,-3.06777436339869E-20,-1.54056923885657E-20,0.000219288644587645,8.71950904172476E-22,0.000216665314030348,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_3.STL,1,0.752941176470588,1,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_3.STL,,Link_3-1,Origin_joint_23,Axis_joint_23,joint_2,continuous,0,0.025,0,0,0,0,link_2,0,0,1,300,3,0,1.57,,,,,,,,
link_4,-0.195177244260054,-1.56125112837913E-16,-1.73472347597681E-17,0,0,0,0.741427763055838,0.000124587793901079,-8.07391805322799E-18,3.30217296958749E-18,0.0121884973484229,4.22136693189308E-20,0.0121740501778656,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_4.STL,,Link_4-1,Origin_joint_32,Axis_joint_32,joint_3,continuous,-0.1,0,0,0,0,-0.14271,link_3,0,0,1,300,3,0,0,,,,,,,,
link_5,-0.27897628170109,-0.00389885493262485,-3.05311331771918E-16,0,0,0,1.0590650202151,0.000207092182812784,2.15677712318495E-07,-1.5100695198829E-17,0.0250352184676771,1.72064117371127E-20,0.0250566309214239,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_5.STL,0.752941176470588,1,0.752941176470588,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_5.STL,,Link_5-1,Origin_joint_42,Axis_joint_42,joint_4,continuous,-0.45,0,0,0,0,-2.9989,link_4,0,0,1,300,3,0,0,,,,,,,,
link_6,3.91381642025901E-09,0,0.18902047022805,0,0,0,0.156447190374541,0.00186599699109058,1.0120044037081E-21,-3.85559539579749E-11,0.00186599699109058,3.00900380477776E-20,3.9105393251952E-06,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_6.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_6.STL,,Link_6-1,Origin_joint_52,Axis_joint_52,joint_5,prismatic,-0.13,0.003,0,3.1416,-1.5708,3.1416,link_5,0,0,1,300,0.1,0,0.38,,,,,,,,
link_7,-2.08166817117217E-17,0,-0.0108382091784279,0,0,0,0.0170160242741333,2.20097044073708E-06,-2.23123039584461E-38,-2.35369460958683E-22,2.62345798760739E-06,-1.33490042628736E-23,2.21488099393225E-06,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_7.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robot_Arm_ASSY_half_urdf/meshes/link_7.STL,,Link_7-1,Origin_joint_62,Axis_joint_62,joint_6,continuous,0,0,0.376,3.1416,0,0,link_6,0,0,1,300,3,0,0,,,,,,,,
